2024-01-30 14:48:12 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600847.5186367)}
2024-01-30 14:48:12 | INFO | stdout | [32mINFO[0m:     127.0.0.1:34298 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:48:14 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600892.569515)}
2024-01-30 14:48:57 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:48:57 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600892.569515)}
2024-01-30 14:48:57 | INFO | stdout | [32mINFO[0m:     127.0.0.1:42074 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:49:14 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600937.6184773)}
2024-01-30 14:49:42 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:49:42 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600937.6184773)}
2024-01-30 14:49:42 | INFO | stdout | [32mINFO[0m:     127.0.0.1:33874 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:50:14 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600982.6672628)}
2024-01-30 14:50:27 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:50:27 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600982.6672628)}
2024-01-30 14:50:27 | INFO | stdout | [32mINFO[0m:     127.0.0.1:47764 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:51:12 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:51:12 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601027.7169635)}
2024-01-30 14:51:12 | INFO | stdout | [32mINFO[0m:     127.0.0.1:59748 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:51:14 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601072.7672899)}
2024-01-30 14:51:57 | INFO | stdout | ----worker_name:  http://localhost:21003
